Campaign,Ad_Set,Ad_Id,Gender,Location,Age_Target,Start_date,End_date,Amount_Spent_$,Reach,Impressions,Results,Cost_Per_Result,Frequncy,Post_Engagement,Post_Comments,Post_Shares,Post_Likes,Follows_Likes,Clicks,Cpc_$,Ctr
generate leads,July,AD_469083,Female,"Chicago,Illinois",18-25,2022-07-30,2022-08-09,67.32883376307078,2019,2826,110,0.6120803069370071,2,1766,252,631,883,588,565,0.11916607745676243,0.19992922859164897
brand awarness,June,AD_469148,Male,"Chicago,Illinois",18-25,2022-06-05,2022-06-24,91.95628430929831,2758,3861,122,0.7537400353221173,3,2413,344,862,1207,804,772,0.11911435791359885,0.19994819994819996
brand awarness,May,AD_469186,Male,"New York City, New York",35-40,2022-05-17,2022-06-10,56.579881347157226,1697,2375,62,0.9125787314057617,1,1484,212,530,742,494,475,0.11911553967822573,0.2
brand awarness,June,AD_469122,Male,"New York City, New York",18-25,2022-06-09,2022-06-26,92.28255054531765,2768,3875,126,0.7324011948041084,2,2421,345,865,1211,807,775,0.11907425876815181,0.2
brand awarness,June,AD_469336,Male,"Houston, Texas",18-25,2022-06-19,2022-07-15,61.52828782400602,1845,2583,148,0.41573167448652715,2,1614,230,577,807,538,516,0.11924086787598066,0.1997677119628339
generate leads,July,AD_468960,Male,"Houston, Texas",35-40,2022-07-19,2022-08-01,53.338757570585386,1600,2240,176,0.3030611225601442,3,1400,200,500,700,466,448,0.11905972672005667,0.2
generate leads,July,AD_469076,Male,"Chicago,Illinois",45-60,2022-07-01,2022-07-13,86.7433433369109,2602,3642,112,0.7744941369367044,2,2276,325,813,1138,758,728,0.11915294414410837,0.19989017023613398
generate leads,May,AD_468994,Male,"Los Angeles, California",25-35,2022-05-09,2022-05-15,48.627066283663815,1458,2041,142,0.3424441287581959,2,1275,182,455,638,425,408,0.11918398598937209,0.19990200881920628
brand awarness,May,AD_469124,Male,"Houston, Texas",60+,2022-05-03,2022-05-07,22.579097382398857,677,947,89,0.25369772339773994,1,591,84,211,296,197,189,0.11946612371639606,0.19957761351636746
brand awarness,May,AD_469202,Female,"New York City, New York",25-35,2022-05-13,2022-05-24,15.390465649151038,461,645,49,0.31409113569695996,2,403,57,144,202,134,129,0.11930593526473672,0.2
website traffic,June,AD_468901,Male,"New York City, New York",18-25,2022-06-06,2022-06-14,13.154101953506926,394,551,56,0.2348946777411951,3,344,49,123,172,114,110,0.11958274503188114,0.1996370235934664
website traffic,July,AD_468930,Female,"Chicago,Illinois",18-25,2022-07-30,2022-08-04,38.03818523278637,1141,1597,43,0.8846089589020085,2,998,142,357,499,332,319,0.11924195997738674,0.1997495303694427
website traffic,May,AD_468866,Male,"New York City, New York",25-35,2022-05-29,2022-06-21,66.61842502425908,1998,2797,133,0.5008904137162337,3,1748,249,625,874,582,559,0.11917428447989102,0.1998569896317483
brand awarness,May,AD_469281,Female,"Los Angeles, California",45-60,2022-05-15,2022-05-16,74.01398513561296,2220,3108,32,2.312937035487905,2,1942,277,694,971,647,621,0.11918516124897416,0.1998069498069498
