Campaign_Name,Campaign_Status,Ad_Type,Ad_ID,Start_Date,Gender,Age_Target,Location,Device,Amount_Spent_$,Impressions,Clicks,Conversions,Conversions_Values,Revenue,Revenue_$
subscrition,Pending,Shopping Ads,AD_202402,2023-08-13,Female,18-25,France,Other,122.92759097882708,2458,307,43,1295,1295,1505
sales,Paused,Shopping Ads,AD_202456,2023-02-19,Male,35-40,New Zealand,Desktop,107.8889591094814,2157,269,38,1400,1750,1330
subscrition,Paused,Google Shopping,AD_202416,2023-04-30,Male,25-35,Brazil,Mobile,101.27593297637564,2025,253,36,1344,1184,1152
sales,Eligible,Shopping Ads,AD_202482,2023-04-28,Male,45-60,Japan,Tablet,125.69099056279444,2513,314,44,1505,1435,1540
sales,Ended,Shopping Ads,AD_202471,2023-12-10,Male,25-35,France,Tablet,122.54888634461835,2450,306,43,1610,1260,1505
sales,Paused,Shopping Ads,AD_202475,2023-02-18,Male,45-60,Chile,Desktop,149.53464397797944,2990,373,53,1750,1750,1855
subscrition,Ended,Shopping Ads,AD_202430,2023-08-20,Male,60+,Brazil,Other,111.12702462078077,2222,277,39,1365,1330,1365
subscrition,Eligible,Shopping Ads,AD_202424,2023-02-22,Female,25-35,Canada,Desktop,107.87849905467097,2157,269,38,1610,1505,1330
sales,Paused,Shopping Ads,AD_202451,2023-08-25,Female,25-35,China,Other,132.9343601054501,2658,332,47,1785,1610,1645
sales,Ended,Shopping Ads,AD_202492,2023-02-08,Male,18-25,South Africa,Other,130.75658330869797,2615,326,46,1680,1435,1610
sales,Ended,Search Ads,AD_202550,2023-08-27,Female,18-25,Brazil,Mobile,144.52372486080014,2890,361,51,820,1020,1020
subscrition,Ended,Google Shopping,AD_202418,2023-11-29,Male,18-25,United States,Mobile,118.05013726290001,2361,295,42,1536,1280,1344
sales,Pending,Shopping Ads,AD_202444,2023-06-17,Male,18-25,France,Other,139.6197030977367,2792,349,49,1715,1400,1715
sales,Paused,Shopping Ads,AD_202510,2023-06-18,Female,35-40,Brazil,Mobile,134.62644340263293,2692,336,48,1295,1330,1680
subscrition,Pending,Search Ads,AD_202393,2023-09-17,Female,35-40,Australia,Mobile,113.13966567132749,2262,282,40,940,980,800
sales,Paused,Shopping Ads,AD_202484,2023-02-14,Male,45-60,Canada,Mobile,124.91571652217159,2498,312,44,1330,1365,1540
sales,Ended,Shopping Ads,AD_202523,2023-02-14,Female,35-40,New Zealand,Mobile,148.78889140462678,2975,371,53,1470,1505,1855
sales,Ended,Shopping Ads,AD_202536,2023-02-14,Female,18-25,Brazil,Tablet,120.05636416003736,2401,300,42,1785,1610,1470
sales,Eligible,Shopping Ads,AD_202467,2023-09-10,Male,25-35,France,Desktop,142.52211923919037,2850,356,50,1785,1365,1750
sales,Paused,Shopping Ads,AD_202525,2023-04-18,Female,35-40,Brazil,Desktop,120.74969915667609,2414,301,43,1330,1610,1505
subscrition,Pending,Google Shopping,AD_202434,2023-10-28,Female,18-25,Egypt,Other,107.38269342454207,2147,268,38,1152,1664,1216
subscrition,Paused,Shopping Ads,AD_202442,2023-10-31,Male,35-40,France,Mobile,104.75196928516229,2095,261,37,1680,1470,1295
sales,Pending,Shopping Ads,AD_202499,2023-11-11,Male,25-35,Japan,Mobile,118.067290481363,2361,295,42,1470,1295,1470
subscrition,Paused,Shopping Ads,AD_202420,2023-08-09,Male,35-40,Nigeria,Mobile,110.81202706912103,2216,277,39,1435,1785,1365
sales,Paused,Google Shopping,AD_202506,2023-08-29,Female,25-35,France,Tablet,114.46275026524842,2289,286,40,1216,1344,1280
sales,Paused,Google Shopping,AD_202478,2023-12-11,Male,60+,Brazil,Other,117.1811951642687,2343,292,41,1600,1376,1312
sales,Paused,Search Ads,AD_202497,2023-02-28,Female,45-60,Australia,Mobile,130.40152492091303,2608,326,46,920,740,920
sales,Ended,Google Shopping,AD_202488,2023-04-30,Female,35-40,Brazil,Desktop,126.88061545683641,2537,317,45,1312,1440,1440
subscrition,Paused,Shopping Ads,AD_202433,2023-02-24,Female,35-40,Japan,Tablet,136.70275364884736,2734,341,48,1365,1715,1680
sales,Ended,Google Shopping,AD_202519,2023-10-31,Female,25-35,Chile,Tablet,121.26900102086783,2425,303,43,1248,1408,1376
sales,Eligible,Search Ads,AD_202577,2023-03-11,Male,25-35,Chile,Mobile,148.1214414318064,2962,370,52,880,840,1040
sales,Eligible,Shopping Ads,AD_202538,2023-09-01,Male,25-35,Germany,Tablet,120.459079002331,2409,301,43,1680,1575,1505
sales,Paused,Shopping Ads,AD_202461,2023-08-12,Female,35-40,China,Tablet,138.4653022757837,2769,346,49,1715,1330,1715
sales,Eligible,Shopping Ads,AD_202513,2023-09-26,Male,35-40,Brazil,Tablet,133.7102264932838,2674,334,47,1820,1540,1645
sales,Ended,Shopping Ads,AD_202514,2023-09-02,Male,25-35,Chile,Mobile,139.96516043813006,2799,349,49,1260,1855,1715
sales,Paused,Shopping Ads,AD_202570,2023-03-24,Male,35-40,Egypt,Mobile,130.73669741852518,2614,326,46,1260,1540,1610
sales,Paused,Shopping Ads,AD_202566,2023-08-11,Female,60+,South Africa,Mobile,143.29690476106157,2865,358,51,1785,1330,1785
sales,Eligible,Google Shopping,AD_202450,2023-08-22,Female,25-35,Brazil,Tablet,130.51004979017355,2610,326,46,1472,1312,1472
sales,Eligible,Google Shopping,AD_202555,2023-07-03,Female,60+,Brazil,Mobile,112.41905869267566,2248,281,40,1632,1344,1280
sales,Paused,Search Ads,AD_202557,2023-12-17,Male,25-35,Canada,Other,111.17670977798478,2223,277,39,880,840,780
sales,Ended,Shopping Ads,AD_202501,2023-04-12,Male,45-60,New Zealand,Tablet,107.49464912306634,2149,268,38,1575,1855,1330
sales,Ended,Shopping Ads,AD_202583,2023-03-04,Female,18-25,Egypt,Desktop,129.71250403234748,2594,324,46,1785,1855,1610
subscrition,Pending,Search Ads,AD_202397,2023-04-09,Female,18-25,Canada,Tablet,131.1055997282087,2622,327,46,880,800,920
sales,Paused,Shopping Ads,AD_202587,2023-12-12,Male,45-60,South Africa,Desktop,139.34318237789637,2786,348,49,1750,1820,1715
subscrition,Ended,Google Shopping,AD_202391,2023-06-28,Female,35-40,Australia,Tablet,134.1140844390978,2682,335,47,1344,1440,1504
subscrition,Pending,Google Shopping,AD_202440,2023-06-01,Female,18-25,Chile,Mobile,126.09113636693993,2521,315,45,1152,1280,1440
sales,Eligible,Search Ads,AD_202549,2023-01-18,Male,60+,South Africa,Mobile,100.90673849759227,2018,252,36,760,820,720
sales,Ended,Shopping Ads,AD_202567,2023-08-23,Female,60+,South Africa,Mobile,105.7903970322529,2115,264,37,1470,1575,1295
sales,Ended,Shopping Ads,AD_202556,2023-06-18,Male,25-35,Brazil,Mobile,121.80469818522812,2436,304,43,1295,1295,1505
subscrition,Ended,Search Ads,AD_202417,2023-08-20,Male,45-60,France,Mobile,137.56671007873408,2751,343,49,760,960,980
sales,Paused,Shopping Ads,AD_202527,2023-05-03,Female,18-25,Australia,Mobile,115.2040558405195,2304,288,41,1435,1435,1435
sales,Ended,Search Ads,AD_202518,2023-01-26,Female,25-35,South Africa,Mobile,140.54582840807555,2810,351,50,740,780,1000
sales,Ended,Search Ads,AD_202597,2023-05-01,Female,18-25,Canada,Tablet,102.03363148176423,2040,255,36,720,980,720
subscrition,Pending,Shopping Ads,AD_202435,2023-01-11,Male,45-60,Japan,Mobile,107.16499976683797,2143,267,38,1400,1260,1330
sales,Pending,Google Shopping,AD_202505,2023-11-07,Male,25-35,South Africa,Desktop,129.8210190076851,2596,324,46,1536,1280,1472
subscrition,Ended,Search Ads,AD_202395,2023-10-06,Female,25-35,Japan,Other,141.9790806621893,2839,354,50,1000,860,1000
sales,Ended,Shopping Ads,AD_202548,2023-08-05,Male,60+,France,Other,109.95518399937755,2199,274,39,1645,1575,1365
sales,Pending,Shopping Ads,AD_202564,2023-07-14,Female,25-35,South Africa,Mobile,118.22978646899375,2364,295,42,1330,1400,1470
subscrition,Paused,Google Shopping,AD_202431,2023-02-04,Male,25-35,South Africa,Mobile,102.44964551225559,2048,256,36,1536,1184,1152
sales,Paused,Shopping Ads,AD_202580,2023-10-11,Male,25-35,France,Mobile,142.6342966399538,2852,356,50,1435,1820,1750
sales,Ended,Shopping Ads,AD_202443,2023-07-02,Female,18-25,United States,Tablet,115.12326695744763,2302,287,41,1610,1365,1435
sales,Ended,Google Shopping,AD_202524,2023-09-25,Male,18-25,Egypt,Desktop,117.68187151846678,2353,294,42,1248,1184,1344
subscrition,Pending,Search Ads,AD_202432,2023-08-27,Male,60+,Brazil,Mobile,118.13153879507944,2362,295,42,980,940,840
subscrition,Pending,Shopping Ads,AD_202436,2023-06-21,Male,35-40,Germany,Desktop,145.08162876425706,2901,362,51,1260,1470,1785
sales,Ended,Search Ads,AD_202452,2023-01-16,Female,18-25,Brazil,Mobile,115.299141952701,2305,288,41,900,780,820
sales,Paused,Google Shopping,AD_202507,2023-10-14,Male,60+,Canada,Other,109.36603138074298,2187,273,39,1472,1408,1248
subscrition,Pending,Google Shopping,AD_202413,2023-04-18,Male,25-35,United States,Tablet,117.9777870559916,2359,294,42,1152,1664,1344
sales,Pending,Shopping Ads,AD_202594,2023-04-24,Male,45-60,Germany,Mobile,135.1166917902209,2702,337,48,1715,1540,1680
sales,Ended,Shopping Ads,AD_202588,2023-08-07,Female,35-40,Nigeria,Tablet,117.53584601383272,2350,293,41,1680,1400,1435
sales,Paused,Shopping Ads,AD_202563,2023-01-10,Female,18-25,Brazil,Mobile,145.75609825463815,2915,364,52,1715,1680,1820
sales,Pending,Search Ads,AD_202568,2023-12-10,Male,25-35,Germany,Mobile,138.09479964918785,2761,345,49,1020,800,980
sales,Ended,Shopping Ads,AD_202539,2023-12-04,Female,45-60,United States,Desktop,136.91794759604608,2738,342,48,1750,1645,1680
subscrition,Paused,Search Ads,AD_202394,2023-09-11,Female,25-35,Canada,Other,110.74928480827563,2214,276,39,1000,880,780
sales,Ended,Shopping Ads,AD_202589,2023-02-24,Male,18-25,Brazil,Mobile,114.08225776818041,2281,285,40,1610,1400,1400
