Campaign_Name,Campaign_Status,Ad_Type,Ad_ID,Start_Date,Gender,Age_Target,Location,Device,Amount_Spent_$,Impressions,Clicks,Conversions,Revenue_$
sales,Pending,Google Shopping,AD_202572,2023-08-20,Male,60+,Argentina,Mobile,112.28074481453416,2245,744,106,3392
sales,Pending,Shopping Ads,AD_202490,2023-05-01,Female,35-40,South Africa,Desktop,124.95325552283899,2499,560,80,2800
sales,Pending,Search Ads,AD_202477,2023-06-20,Female,25-35,New Zealand,Desktop,115.67475755114998,2313,837,119,2380
subscrition,Paused,Shopping Ads,AD_202440,2023-08-14,Female,45-60,Egypt,Desktop,146.77277626862002,2935,735,105,3675
sales,Ended,Search Ads,AD_202558,2023-09-14,Male,35-40,South Africa,Tablet,148.49975714296198,2969,797,113,2260
sales,Paused,Shopping Ads,AD_202529,2023-10-31,Female,35-40,South Africa,Mobile,124.08229018808133,2481,490,70,2450
sales,Pending,Google Shopping,AD_202520,2023-04-28,Male,35-40,Brazil,Other,135.34249180562912,2706,766,109,3488
subscrition,Pending,Shopping Ads,AD_202394,2023-03-20,Male,35-40,China,Mobile,113.29220346343243,2265,884,126,4410
subscrition,Paused,Search Ads,AD_202423,2023-05-04,Female,60+,Japan,Mobile,122.87477130469654,2457,670,95,1900
sales,Paused,Shopping Ads,AD_202535,2023-01-19,Male,25-35,Brazil,Mobile,117.01183953294222,2340,331,47,1645
sales,Pending,Shopping Ads,AD_202573,2023-06-05,Male,25-35,Argentina,Other,134.5493501035527,2690,411,58,2030
subscrition,Eligible,Shopping Ads,AD_202419,2023-12-09,Male,60+,Australia,Mobile,115.04062860316868,2300,712,101,3535
sales,Pending,Shopping Ads,AD_202585,2023-03-18,Female,45-60,Brazil,Mobile,120.05579141871404,2401,958,136,4760
sales,Eligible,Google Shopping,AD_202501,2023-05-31,Male,25-35,Japan,Tablet,103.50151995175092,2070,622,88,2816
subscrition,Pending,Shopping Ads,AD_202393,2023-02-02,Male,25-35,China,Tablet,112.20615130143159,2244,874,124,4340
sales,Eligible,Google Shopping,AD_202452,2023-06-24,Female,60+,China,Desktop,141.49998837747236,2829,622,88,2816
sales,Paused,Shopping Ads,AD_202589,2023-04-27,Male,45-60,Brazil,Desktop,141.68150965015224,2833,456,65,2275
subscrition,Ended,Shopping Ads,AD_202395,2023-04-07,Female,35-40,Argentina,Desktop,130.83252226522188,2616,281,40,1400
sales,Pending,Search Ads,AD_202526,2023-07-06,Female,18-25,United States,Mobile,142.32724097977678,2846,306,43,860
sales,Paused,Search Ads,AD_202450,2023-09-19,Male,18-25,Nigeria,Mobile,117.23051720486657,2344,562,80,1600
subscrition,Pending,Google Shopping,AD_202431,2023-07-18,Female,25-35,Brazil,Desktop,141.30864822256612,2826,295,42,1344
sales,Pending,Shopping Ads,AD_202579,2023-01-19,Female,35-40,Japan,Mobile,134.04175595096038,2680,771,110,3850
subscrition,Pending,Shopping Ads,AD_202429,2023-09-02,Female,25-35,China,Mobile,120.17368342564795,2403,500,71,2485
sales,Paused,Shopping Ads,AD_202464,2023-12-17,Female,35-40,Argentina,Desktop,127.90090470908734,2558,485,69,2415
sales,Pending,Search Ads,AD_202583,2023-10-17,Male,35-40,Argentina,Mobile,118.19715128103093,2363,795,113,2260
sales,Eligible,Search Ads,AD_202488,2023-04-17,Female,35-40,Egypt,Desktop,140.69600570254713,2813,491,70,1400
sales,Pending,Shopping Ads,AD_202525,2023-11-30,Female,25-35,Brazil,Mobile,109.53213443192807,2190,408,58,2030
subscrition,Pending,Google Shopping,AD_202410,2023-10-23,Female,25-35,Canada,Tablet,149.13656665876155,2982,308,44,1408
subscrition,Paused,Shopping Ads,AD_202438,2023-01-12,Female,25-35,South Africa,Mobile,139.17445646600618,2783,444,63,2205
sales,Pending,Shopping Ads,AD_202484,2023-10-21,Female,60+,France,Desktop,130.1678048614611,2603,296,42,1470
sales,Paused,Shopping Ads,AD_202497,2023-07-18,Male,18-25,United States,Other,118.56361866536723,2371,434,62,2170
sales,Paused,Search Ads,AD_202486,2023-02-08,Male,18-25,Brazil,Other,132.91809967149123,2658,428,61,1220
sales,Ended,Shopping Ads,AD_202534,2023-03-15,Female,18-25,South Africa,Mobile,120.14452562698236,2402,520,74,2590
sales,Ended,Shopping Ads,AD_202451,2023-05-31,Female,18-25,Nigeria,Desktop,146.27837522039545,2925,419,59,2065
sales,Paused,Shopping Ads,AD_202487,2023-07-11,Male,60+,Germany,Mobile,136.62353782534785,2732,883,126,4410
sales,Eligible,Google Shopping,AD_202594,2023-09-02,Female,25-35,Brazil,Desktop,146.65968100683992,2933,1003,143,4576
sales,Pending,Shopping Ads,AD_202565,2023-06-22,Male,18-25,Argentina,Mobile,122.27611827682325,2445,556,79,2765
sales,Eligible,Search Ads,AD_202518,2023-02-20,Male,25-35,Nigeria,Desktop,113.9426518067853,2278,339,48,960
sales,Ended,Search Ads,AD_202586,2023-11-20,Male,45-60,Australia,Mobile,109.30076520901409,2186,349,49,980
sales,Eligible,Google Shopping,AD_202512,2023-10-16,Male,25-35,France,Mobile,110.68302242507684,2213,793,113,3616
subscrition,Pending,Search Ads,AD_202409,2023-01-25,Male,35-40,France,Tablet,102.9700909945737,2059,411,58,1160
sales,Paused,Google Shopping,AD_202577,2023-09-24,Male,18-25,Brazil,Desktop,138.08051990750215,2761,473,67,2144
sales,Pending,Search Ads,AD_202502,2023-04-06,Male,18-25,Brazil,Tablet,126.47740397790508,2529,559,79,1580
sales,Eligible,Shopping Ads,AD_202580,2023-08-14,Male,25-35,France,Mobile,126.40316559362819,2528,901,128,4480
sales,Pending,Shopping Ads,AD_202578,2023-01-11,Female,18-25,France,Mobile,122.2922582367359,2445,536,76,2660
subscrition,Ended,Search Ads,AD_202427,2023-11-13,Male,60+,Brazil,Tablet,143.77487980961368,2875,389,55,1100
subscrition,Ended,Search Ads,AD_202412,2023-08-24,Male,60+,Canada,Other,126.99593036124959,2539,565,80,1600
sales,Pending,Shopping Ads,AD_202597,2023-11-22,Female,25-35,Egypt,Mobile,123.63440283958579,2472,722,103,3605
sales,Pending,Google Shopping,AD_202514,2023-10-10,Female,18-25,Brazil,Desktop,106.96987074200369,2139,427,61,1952
