id,property_type,bedrooms,price_$,city,neighborhood,start_date,end_date,parking_fee_per_month_$,laundry_per_month_$,cleaning_times_per_month,room_cleaining_price_$,mantainance_per_month_$,tax$_$,year,month,days_in_month
9021715,House,2.0,299.0,New York,Brookyn,2024-08-16,2024-08-22,0.0,41.59,2,8,71.53,11.96,2024,Aug,7
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Apr,16
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,May,31
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Jun,30
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Jul,31
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Aug,31
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Sep,30
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Oct,31
23630,House,1.0,155.0,New York,Harlem,2024-04-15,2024-11-02,0.0,49.49,2,8,61.37,6.2,2024,Nov,2
9949873,House,1.0,90.0,New York,Staten Island,2024-07-22,2024-09-15,0.0,46.85,2,8,78.01,3.6,2024,Jul,10
9949873,House,1.0,90.0,New York,Staten Island,2024-07-22,2024-09-15,0.0,46.85,2,8,78.01,3.6,2024,Aug,31
9949873,House,1.0,90.0,New York,Staten Island,2024-07-22,2024-09-15,0.0,46.85,2,8,78.01,3.6,2024,Sep,15
4833101,House,1.0,120.0,New York,Manhattan,2024-05-17,2024-10-12,0.0,44.02,2,8,70.23,4.8,2024,May,15
4833101,House,1.0,120.0,New York,Manhattan,2024-05-17,2024-10-12,0.0,44.02,2,8,70.23,4.8,2024,Jun,30
4833101,House,1.0,120.0,New York,Manhattan,2024-05-17,2024-10-12,0.0,44.02,2,8,70.23,4.8,2024,Jul,31
4833101,House,1.0,120.0,New York,Manhattan,2024-05-17,2024-10-12,0.0,44.02,2,8,70.23,4.8,2024,Aug,31
4833101,House,1.0,120.0,New York,Manhattan,2024-05-17,2024-10-12,0.0,44.02,2,8,70.23,4.8,2024,Sep,30
4833101,House,1.0,120.0,New York,Manhattan,2024-05-17,2024-10-12,0.0,44.02,2,8,70.23,4.8,2024,Oct,12
216042,House,1.0,147.0,New York,Harlem,2024-08-22,2024-09-20,0.0,49.6,2,8,67.63,5.88,2024,Aug,10
216042,House,1.0,147.0,New York,Harlem,2024-08-22,2024-09-20,0.0,49.6,2,8,67.63,5.88,2024,Sep,20
3630122,House,3.0,675.0,New York,Manhattan,2024-06-09,2024-10-15,0.0,43.34,2,8,76.13,27.0,2024,Jun,22
3630122,House,3.0,675.0,New York,Manhattan,2024-06-09,2024-10-15,0.0,43.34,2,8,76.13,27.0,2024,Jul,31
3630122,House,3.0,675.0,New York,Manhattan,2024-06-09,2024-10-15,0.0,43.34,2,8,76.13,27.0,2024,Aug,31
3630122,House,3.0,675.0,New York,Manhattan,2024-06-09,2024-10-15,0.0,43.34,2,8,76.13,27.0,2024,Sep,30
3630122,House,3.0,675.0,New York,Manhattan,2024-06-09,2024-10-15,0.0,43.34,2,8,76.13,27.0,2024,Oct,15
3175769,House,3.0,350.0,New York,Harlem,2024-08-04,2024-08-27,0.0,38.32,2,8,65.51,14.0,2024,Aug,24
9616042,Studio,1.0,139.0,New York,Manhattan,2024-09-24,2024-10-12,21.03,22.38,4,5,41.24,5.5600000000000005,2024,Sep,7
9616042,Studio,1.0,139.0,New York,Manhattan,2024-09-24,2024-10-12,21.03,22.38,4,5,41.24,5.5600000000000005,2024,Oct,12
177137,Apartment,2.0,135.0,New York,Harlem,2024-06-05,2024-10-20,26.43,36.72,3,7,61.3,5.4,2024,Jun,26
177137,Apartment,2.0,135.0,New York,Harlem,2024-06-05,2024-10-20,26.43,36.72,3,7,61.3,5.4,2024,Jul,31
177137,Apartment,2.0,135.0,New York,Harlem,2024-06-05,2024-10-20,26.43,36.72,3,7,61.3,5.4,2024,Aug,31
177137,Apartment,2.0,135.0,New York,Harlem,2024-06-05,2024-10-20,26.43,36.72,3,7,61.3,5.4,2024,Sep,30
177137,Apartment,2.0,135.0,New York,Harlem,2024-06-05,2024-10-20,26.43,36.72,3,7,61.3,5.4,2024,Oct,20
9465008,House,2.0,275.0,New York,Staten Island,2024-07-25,2024-10-11,0.0,44.94,2,8,67.5,11.0,2024,Jul,7
9465008,House,2.0,275.0,New York,Staten Island,2024-07-25,2024-10-11,0.0,44.94,2,8,67.5,11.0,2024,Aug,31
9465008,House,2.0,275.0,New York,Staten Island,2024-07-25,2024-10-11,0.0,44.94,2,8,67.5,11.0,2024,Sep,30
9465008,House,2.0,275.0,New York,Staten Island,2024-07-25,2024-10-11,0.0,44.94,2,8,67.5,11.0,2024,Oct,11
819863,Apartment,1.0,135.0,New York,Staten Island,2024-12-29,2024-12-31,31.09,30.79,3,7,60.77,5.4,2024,Dec,3
581216,Apartment,3.0,139.0,New York,Brookyn,2024-06-19,2024-06-21,39.34,33.49,3,7,50.65,5.5600000000000005,2024,Jun,3
1117813,House,2.0,150.0,New York,Harlem,2024-10-24,2024-10-31,0.0,39.19,2,8,78.96,6.0,2024,Oct,8
8903225,Apartment,1.0,279.0,New York,Brookyn,2024-08-11,2024-09-27,31.45,36.19,3,7,47.48,11.16,2024,Aug,21
8903225,Apartment,1.0,279.0,New York,Brookyn,2024-08-11,2024-09-27,31.45,36.19,3,7,47.48,11.16,2024,Sep,27
806199,Studio,1.0,325.0,New York,Queens,2024-05-06,2024-09-09,22.6,22.83,4,5,37.03,13.0,2024,May,26
806199,Studio,1.0,325.0,New York,Queens,2024-05-06,2024-09-09,22.6,22.83,4,5,37.03,13.0,2024,Jun,30
806199,Studio,1.0,325.0,New York,Queens,2024-05-06,2024-09-09,22.6,22.83,4,5,37.03,13.0,2024,Jul,31
806199,Studio,1.0,325.0,New York,Queens,2024-05-06,2024-09-09,22.6,22.83,4,5,37.03,13.0,2024,Aug,31
806199,Studio,1.0,325.0,New York,Queens,2024-05-06,2024-09-09,22.6,22.83,4,5,37.03,13.0,2024,Sep,9
1388523,Apartment,0.0,125.0,New York,Staten Island,2024-06-08,2024-07-20,36.03,29.01,3,7,57.7,5.0,2024,Jun,23
1388523,Apartment,0.0,125.0,New York,Staten Island,2024-06-08,2024-07-20,36.03,29.01,3,7,57.7,5.0,2024,Jul,20
8612967,Apartment,3.0,499.0,New York,Manhattan,2024-08-14,2024-08-24,30.06,29.01,3,7,59.02,19.96,2024,Aug,11
3664693,Apartment,0.0,86.0,New York,Staten Island,2024-11-14,2024-12-08,25.44,28.52,3,7,61.21,3.44,2024,Nov,17
3664693,Apartment,0.0,86.0,New York,Staten Island,2024-11-14,2024-12-08,25.44,28.52,3,7,61.21,3.44,2024,Dec,8
40138,Apartment,1.0,67.0,New York,Brookyn,2024-11-03,2024-12-21,31.25,30.35,3,7,63.75,2.68,2024,Nov,28
40138,Apartment,1.0,67.0,New York,Brookyn,2024-11-03,2024-12-21,31.25,30.35,3,7,63.75,2.68,2024,Dec,21
137129,House,4.0,594.0,New York,Brookyn,2024-07-16,2024-12-05,0.0,45.52,2,8,73.4,23.76,2024,Jul,16
137129,House,4.0,594.0,New York,Brookyn,2024-07-16,2024-12-05,0.0,45.52,2,8,73.4,23.76,2024,Aug,31
137129,House,4.0,594.0,New York,Brookyn,2024-07-16,2024-12-05,0.0,45.52,2,8,73.4,23.76,2024,Sep,30
137129,House,4.0,594.0,New York,Brookyn,2024-07-16,2024-12-05,0.0,45.52,2,8,73.4,23.76,2024,Oct,31
137129,House,4.0,594.0,New York,Brookyn,2024-07-16,2024-12-05,0.0,45.52,2,8,73.4,23.76,2024,Nov,30
137129,House,4.0,594.0,New York,Brookyn,2024-07-16,2024-12-05,0.0,45.52,2,8,73.4,23.76,2024,Dec,5
130805,Apartment,1.0,97.0,New York,Queens,2024-11-02,2024-12-24,25.31,32.59,3,7,57.91,3.88,2024,Nov,29
130805,Apartment,1.0,97.0,New York,Queens,2024-11-02,2024-12-24,25.31,32.59,3,7,57.91,3.88,2024,Dec,24
7897391,Studio,0.0,180.0,New York,Staten Island,2024-07-04,2024-12-28,19.04,26.81,4,5,35.72,7.2,2024,Jul,28
7897391,Studio,0.0,180.0,New York,Staten Island,2024-07-04,2024-12-28,19.04,26.81,4,5,35.72,7.2,2024,Aug,31
7897391,Studio,0.0,180.0,New York,Staten Island,2024-07-04,2024-12-28,19.04,26.81,4,5,35.72,7.2,2024,Sep,30
7897391,Studio,0.0,180.0,New York,Staten Island,2024-07-04,2024-12-28,19.04,26.81,4,5,35.72,7.2,2024,Oct,31
7897391,Studio,0.0,180.0,New York,Staten Island,2024-07-04,2024-12-28,19.04,26.81,4,5,35.72,7.2,2024,Nov,30
7897391,Studio,0.0,180.0,New York,Staten Island,2024-07-04,2024-12-28,19.04,26.81,4,5,35.72,7.2,2024,Dec,28
2081536,Studio,1.0,65.0,New York,Manhattan,2024-12-06,2024-12-08,17.23,29.09,4,5,39.31,2.6,2024,Dec,3
6557736,House,1.0,75.0,New York,Queens,2024-11-20,2024-12-14,0.0,43.53,2,8,64.4,3.0,2024,Nov,11
6557736,House,1.0,75.0,New York,Queens,2024-11-20,2024-12-14,0.0,43.53,2,8,64.4,3.0,2024,Dec,14
5405637,Studio,1.0,189.0,New York,Manhattan,2024-09-27,2024-11-15,16.66,28.44,4,5,43.9,7.5600000000000005,2024,Sep,4
5405637,Studio,1.0,189.0,New York,Manhattan,2024-09-27,2024-11-15,16.66,28.44,4,5,43.9,7.5600000000000005,2024,Oct,31
5405637,Studio,1.0,189.0,New York,Manhattan,2024-09-27,2024-11-15,16.66,28.44,4,5,43.9,7.5600000000000005,2024,Nov,15
4603953,House,1.0,175.0,New York,Harlem,2024-06-22,2024-07-12,0.0,48.31,2,8,60.53,7.0,2024,Jun,9
4603953,House,1.0,175.0,New York,Harlem,2024-06-22,2024-07-12,0.0,48.31,2,8,60.53,7.0,2024,Jul,12
280549,House,3.0,250.0,New York,Staten Island,2024-04-17,2024-05-12,0.0,35.65,2,8,70.74,10.0,2024,Apr,14
280549,House,3.0,250.0,New York,Staten Island,2024-04-17,2024-05-12,0.0,35.65,2,8,70.74,10.0,2024,May,12
4993804,House,5.0,775.0,New York,Harlem,2024-08-11,2024-12-13,0.0,49.75,2,8,64.09,31.0,2024,Aug,21
